OS,Unique Users
Windows,559
Other,336
Mac OS X,303
Linux,252
Ubuntu,106
Android,83
iOS,55
Chrome OS,2
NetBSD,2
CentOS,1
FreeBSD,1
OpenBSD,1
Solaris,1
Windows Mobile,1
Windows Phone,1
